Year,Food Insecurity
2022,0.12399999797344200
2021,0.11999999731779100
2020,0.12300000339746500
2019,0.12600000202655800
2018,0.125
2017,0.12800000607967400
2016,0.13699999451637300
2015,0.13500000536441800
2014,0.1289999932050710
