Year,Food Environment Index
2022,8
2021,8.100000381469730
2020,8.100000381469730
2019,8.100000381469730
2018,8.199999809265140
2017,7.900000095367430
2016,7.800000190734860
2015,7.900000095367430
2014,8.241000175476070
